J A I P	R
justice and the enforcement	of
justice and the equality	of
justice and the establishment	of
justice and the execution	of
justice and the exercise	of
justice and the expediency	of
justice and the fear	of
justice and the foundation	of
justice and the freedom	of
justice and the fulfillment	of
justice and the general	good welfare reason
justice and the good	life of
justice and the goodness	of
justice and the happiness	of
justice and the honor	of
justice and the honour	of
justice and the idea	of
justice and the importance	of
justice and the improvement	of
justice and the integrity	of
justice and the interest	of
justice and the interests	of
justice and the just	are
justice and the law	of
justice and the laws	of
justice and the liberty	of
justice and the love	of which
justice and the maintenance	of
justice and the management	of
justice and the mercy	of
justice and the national	safety
justice and the nature	of
justice and the necessity	of
justice and the need	for to
justice and the needs	of
justice and the other	virtues obligations of
justice and the peace	of
justice and the policy	of
justice and the politics	of
justice and the power	of
justice and the practice	of
justice and the preservation	of
justice and the prevention	of
justice and the principle	of
justice and the principles	of
justice and the problem	of
justice and the promotion	of
justice and the protection	of
