D A A A	A
does not stay on	the
does not stay the	same
does not stem from	the a any
does not stick to	the
does not stop at	the this that a
does not stop her	from
does not stop him	from
does not stop in	the
does not stop it	from
does not stop me	from
does not stop people	from
does not stop short	at of
does not stop them	from
does not stop to	think consider
does not stop until	the
does not stop us	from
does not stop when	the
does not stop with	the this a
does not stop you	from
does not stray far	from
does not strictly apply	to
does not strictly belong	to
